Categories,Total Sucides,Gender
By Consuming Sleeping Pills,456,Male
By Drowning,4186,Male
By Fire/Self Immolation,3751,Male
By Firearms,298,Male
By Hanging,42970,Male
By Poison,23823,Male
By Self Inflicting Injury,550,Male
Jumping,1775,Male
By Coming under Running Vehicles/Trains,2467,Male
By Touching Electric Wire,517,Male
By Other Means,8204,Male
By Consuming Sleeping Pills,248,Female
By Drowning,2077,Female
By Fire/Self Immolation,5454,Female
By Firearms,193,Female
By Hanging,17516,Female
By Poison,11045,Female
By Self Inflicting Injury,219,Female
Jumping,490,Female
By Coming under Running Vehicles/Trains,417,Female
By Touching Electric Wire,130,Female
By Other Means,4208,Female
