Categories,Total Sucides,Gender
No Education,11206,Male
Primary (up to class-5th),16299,Male
Middle (up to class-8th),18188,Male
Matriculate/Secondary (up to class-10th),20436,Male
Hr. Secondary/Intermediate/Pre-University (up to class–12th),11677,Male
Diploma/Certificate/ITI,1106,Male
Graduate and above,2849,Male
Professionals (MBA etc.),225,Male
Status Not known,7011,Male
No Education,6817,Female
Primary (up to class-5th),7708,Female
Middle (up to class-8th),8099,Female
Matriculate/Secondary (up to class-10th),9142,Female
Hr. Secondary/Intermediate/Pre-University (up to class–12th),5060,Female
Diploma/Certificate/ITI,356,Female
Graduate and above,1178,Female
Professionals (MBA etc.),68,Female
Status Not known,3569,Female
