Categories,Total Sucides,Gender
House wife,0,Male
Professionals/Salaried Persons (Total),10022,Male
Students,5194,Male
Unemployed Persons,10249,Male
Self-employed Persons,12497,Male
Persons Engaged in Farming Sector,9852,Male
Daily Wage Earner,25159,Male
Retired Persons,923,Male
Other Persons,15123,Male
House wife,21453,Female
Professionals/Salaried Persons (Total),1514,Female
Students,4711,Female
Unemployed Persons,1990,Female
Self-employed Persons,1292,Female
Persons Engaged in Farming Sector,802,Female
Daily Wage Earner,3578,Female
Retired Persons,76,Female
Other Persons,5436,Female
