Categories,Total Sucides,Gender
No Education,11066,Male
Primary (up to class–5th),14580,Male
Middle (up to class–8th),17578,Male
Matriculate/Secondary (up to class–10th),21590,Male
Hr. Secondary/ Intermediate/Pre-University (up to class–12th),13779,Male
Diploma/ Certificate/ ITI,1191,Male
Graduate and above,3209,Male
Professionals (MBA etc.),267,Male
Status Not known,5759,Male
No Education,5870,Female
Primary (up to class–5th),6643,Female
Middle (up to class–8th),7611,Female
Matriculate/Secondary (up to class–10th),9072,Female
Hr. Secondary/ Intermediate/Pre-University (up to class–12th),6827,Female
Diploma/ Certificate/ ITI,336,Female
Graduate and above,1343,Female
Professionals (MBA etc.),129,Female
Status Not known,3021,Female
