Categories,Total Sucides,Gender
House wife,0,Male
Professionals/Salaried Persons,10562,Male
Students,5369,Male
Unemployed Persons,10687,Male
Self-employed Persons,12175,Male
Persons Engaged in Farming Sector,9528,Male
Daily Wage Earner,26589,Male
Retired Persons,975,Male
Other Persons,16229,Male
House wife,22937,Female
Professionals/Salaried Persons,1412,Female
Students,4790,Female
Unemployed Persons,2248,Female
Self-employed Persons,974,Female
Persons Engaged in Farming Sector,821,Female
Daily Wage Earner,3535,Female
Retired Persons,139,Female
Other Persons,5535,Female
