Categories,Total Sucides,Gender
By Consuming Sleeping Pills,684,Male
By Drowning,4218,Male
By Fire/Self Immolation,2427,Male
By Firearms,310,Male
By Hanging,46051,Male
By Poison,24004,Male
By Self Inflicting Injury,669,Male
Jumping,1749,Male
By Coming under Running Vehicles/Trains,3225,Male
By Touching Electric Wire,451,Male
By Other Means,5231,Male
By Consuming Sleeping Pills,330,Female
By Drowning,2017,Female
By Fire/Self Immolation,4431,Female
By Firearms,170,Female
By Hanging,18646,Female
By Poison,11665,Female
By Self Inflicting Injury,306,Female
Jumping,454,Female
By Coming under Running Vehicles/Trains,589,Female
By Touching Electric Wire,108,Female
By Other Means,2136,Female
