Categories,Total Sucides,Gender
By Consuming Sleeping Pills,591,Male
By Drowning,4373,Male
By Fire/Self Immolation,2140,Male
By Firearms,346,Male
By Hanging,49192,Male
By Poison,24141,Male
By Self Inflicting Injury,536,Male
Jumping,1886,Male
By Coming under Running Vehicles/Trains,3235,Male
By Touching Electric Wire,444,Male
By Other Means,5230,Male
By Consuming Sleeping Pills,348,Female
By Drowning,2205,Female
By Fire/Self Immolation,3809,Female
By Firearms,175,Female
By Hanging,20111,Female
By Poison,11715,Female
By Self Inflicting Injury,236,Female
Jumping,671,Female
By Coming under Running Vehicles/Trains,613,Female
By Touching Electric Wire,121,Female
By Other Means,2387,Female
